Date,Content,
19.4.42,"Tokio bombed, or supposed to have been bombed, yesterday. [1] Hitherto this comes only from Japanese and German sources. Nowadays one takes it so much for granted that everyone is lying that a report of this kind is never believed until confirmed by both sides. Even an admission by the enemy that his capital had been bombed might for some reason or other be a lie.

[[Eileen] says that Anand remarked to her yesterday, as though it were a matter of course, that Britain would make a separate peace this year, and seemed surprised when she demurred. Of course Indians have to say this, and have been saying it ever since 1940, because it furnishes them if necessary with an excuse for being anti-war, and also because if they could allow themselves to think any good of Britain whatever their mental framework would be destroyed. Fyvel told me how in 1940, at the time when Chamberlain was still in government, he was at a meeting at which Pritt and various Indians were present. The Indians were remarking in their pseudo-Marxist way “Of course the Churchill-Chamberlain government is about to make a compromise peace”, whereat Pritt told them that Churchill would never make peace and that the only difference (then) existing in Britain was the difference between Churchill and Chamberlain.]

More and more talk about an invasion of Europe – so much so as to make one think something of the kind must be afoot, otherwise the newspapers would not risk causing disappointment by talking so much about it. Amazed by the unrealism of much of this talk. Nearly everyone seems still to think that gratitude is a factor is power politics. Two assumptions which are habitually made throughout the Left press are a. that opening up a second front is the way to stop Russia making a separate peace, and b. that the more fighting we do the more say we shall have in the final peace settlement. Few people seem to reflect that if an invasion of Europe succeeded to the point of drawing the German armies away from Russia, Stalin would have no strong motive for going on fighting [and that a sell-out of this kind would be quite in line with the Russo-German pact and the agreement which the USSR has evidently entered into with Japan]. As to the other assumption, many people talk as though the power to decide policy when a war has been won were a sort of reward for having fought well in it. Of course the people actually able to dominate affairs are those who have the most military power, cf. America at the end of the last war.

Meanwhile the two steps which could right the situation, a. a clear agreement with the USSR and a joint (and fairly detailed) declaration of war aims, and b. an invasion of Spain, are politically quite impossible under the present government.",
25.4.42,"U.S. airmen making a forced landing on Russian soil after bombing Tokio have been interned. According to the Japanese wireless the Russians are expediting the movement of Japanese agents across Russia from Sweden (and hence from Germany) to Japan. [If true, this is a new development, this traffic having been stopped at the time when Germany attacked the USSR.]

The mystery of Subhas Chandra Bose’s whereabouts remains impenetrable. [The leading facts are: –

i.                     At the time of his disappearance, the British government declared that he had gone to Berlin.
ii.                   A voice, identified as his, broadcasts on the Free India radio (Germany).
iii.                  The Italian radio has claimed at least once that Bose is in Japanese territory.
iv.                 Indians here seem on the whole to think that he is in Japanese territory.
v.                   Escape into Japanese territory would have been physically easier than escape in the other direction, though the latter would not have been impossible.
vi.                 The Vichy report of his death in a plane accident between Bangkok and Tokio, though almost certainly mistaken, seemed to suggest that Vichy quarters took it for granted that he was in Japanese territory.
vii.                According to engineers it would not be impossible to broadcast his voice scrambled from Tokio to Berlin and there unscramble and rebroadcast it.
There are innumerable other considerations and endless rumours.] The two questions hardest to answer are: If Bose is in Japanese territory, why this elaborate effort to make it appear that he is in Berlin, where he is comparatively ineffectual? If Bose is in German territory, how did he get there? Of course it is quite reasonably likely that he got there with Russian connivance. Then the question arises, if the Russians had previously passed Bose through, did they afterwards tip us off when they came into the war on our side? To know the answer to that would give one useful clue to their attitude towards ourselves. Of course one can get no information about questions of that type here. One has to do one’s propaganda in the dark, discreetly sabotaging the policy directives when they seem more than usually silly. [1]

To judge from their wireless, the Germans believe in a forthcoming invasion, either from France or Norway. What a chance to have a go at Spain! As, however, they have fixed a date of it (May 1st) they may merely be discussing the possibility of invasion in order to jeer when it does not come off. No sign here of any invasion preparations – no rumours about assembly of troops or boats, re-arrangement of railway schedules etc. The most positive sign is Beaverbrook’s pro-invasion speech in the USA.

[There seems to be no news whatever. It must be months since the papers were so empty.]

Struck by the mediocre physique and poor general appearance of the American soldiers one seems from time to time in the street. The officers usually better than the men, however.",
27.4.42,"[Much speculation about the meaning of Hitler’s speech yesterday. In general it gives an impression of pessimism. Beaverbrook’s invasion speech is variously interpreted, at its face value, as a pep talk for the Americans, as something to persuade the Russians that we are not leaving them in the lurch, and as the beginning of an attack on Churchill (who may be forced into opposing offensive action). Nowadays, whatever is said or done, one looks instantly for hidden motives and assumes that words mean anything except what they appear to mean.]

From the Italian radio, describing life in London:

“Five shillings were given for one egg yesterday, and one pound sterling for a kilogram of potatoes. Rice has disappeared, even from the Black Market, and peas have become the prerogative of millionaires. There is no sugar on the market, although small quantities are still to be found at prohibitive prices”.

One would say that this is stupid propaganda, because if such conditions really existed England would stop fighting in a few weeks, and when this fails to happen the listener is bound to see that he has been deceived. But in fact there is no such reaction. You can go on and on telling lies, and the most palpable lies at that, and even if they are not actually believed, there is no strong revulsion either.

We are all drowning in filth. When I talk to anyone or read the writings of anyone who has any axe to grind, I feel that intellectual honesty and balanced judgement have simply disappeared from the face of the earth. Everyone’s thought is forensic, everyone is simply putting a “case” with deliberate suppression of his opponent’s point of view, and, what is more, with complete insensitiveness to any sufferings except those of himself and his friends. The Indian nationalist is sunken in self-pity and hatred of Britain and utterly indifferent to the miseries of China, the English pacifist works himself up into frenzies about the concentration camps in the Isle of Man and forgets about those in Germany, etc. etc. One notices this in the case of people one disagrees with, such as Fascists or pacifists but in fact everyone is the same, at least everyone is utterly heartless towards people who are outside the immediate range of his own interests. What is most striking of all is the way sympathy can be turned on and off like a tap according to political expediency. [All the pinks, or most of them, who flung themselves to and fro in their rage about Nazi atrocities before the war, forgot all about these atrocities and obviously lost their sympathy with the Jews etc. as soon as the war began to bore them. Ditto with people who hated Russia like poison up to June 22 1941 and then suddenly forgot about the purges, the G.P.U. etc. the moment Russia came into the war. I am not thinking of lying for political ends, but of actual changes in subjective feeling.] But is there no one who has both firm opinions and a balanced outlook? Actually there are plenty, but they are all powerless. All power is in the hands of paranoiacs.",
6.5.42,"People do not seem pleased about Madagascar [1] as they did about Syria, [2] perhaps not grasping equally well its strategical significance, but more, I think, for want of a suitable propaganda buildup beforehand. [In the case of Syria the obviousness of the danger, the continual stories about German infiltration, and the long uncertainty as to whether the Government would act, gave people the impression that it was public opinion which had forced the decision. For all I know it may ever have done so, to some extent. No similar preparation in this case.] As soon as it became clear that Singapore was in danger I pointed out that we might have to seize Madagascar and had better begin the buildup in our Indian newsletters. I was somewhat choked off even then, and some weeks back a directive came, I suppose from the Foreign Office, that Madagascar was not to be mentioned. Reason given (after the British troops had landed) “So as not to give the show away”. Result, the seizure of Madagascar can be represented all over Asia as a piece of imperialist grabbing.

Saw two women driving in an old-fashioned governess cart today. A week or two back saw two men in a carriage and pair, and one of the men actually wearing a grey bowler hat.

[Much speculation as to the authorship of articles in the Tribune, violently attacking Churchill and signed “Thomas Rainsborough”. [3] Considered by some to be Frank Owen, [4] which I do not believe.]",
8.5.42,"According to W. [1] a real Anglo-Russian alliance is to be signed up and the Russian delegates are already in London. I don’t believe this.

The Turkish radio (for some time past I think this has been one of the most reliable sources of information) alleges that both Germans and Russians are preparing to use poison gas in the forthcoming battle.

[Great naval battle in progress in the Coral Sea. [2] Sinkings claimed by both sides so vast that one does not know what to believe. But from the willingness of the Japanese radio to talk about the battle (they have already named it the Battle of the Coral Sea) the presumption is that they count on making their objective.

My guess as to the identity of ‘Thomas Rainsborough’; Tom Wintringham. (Right!)

(30.5.42. Wintringham denies the authorship of these articles, but I still think he wrote them.) [3] ]",
11.5.42,"Another gas warning (in Churchill’s speech) last night. I suppose we shall be using it before many weeks are over.

From a Japanese broadcast; “In order to do justice to the patriotic spirit of the Koreans, the Japanese Government have decided to introduce compulsory military service in Korea”.

Rumoured date for the German invasion of Britain: May 25th.",
15.5.42,"I saw Cripps on Wednesday, the first time I had actually spoken to him. Rather well impressed. He was more approachable and easy-going than I had expected, and quite ready to answer questions. Though aged 53 some of his movements are almost boyish. On the other hand he has decidedly a red nose. [I saw him in one of the reception rooms, or whatever they are called, off the House of Lords. Some interesting old prints on the walls, coronets on the chairs and on the ashtrays, but everything with the vaguely decayed look that all Parliamentary institutions now have. A string of non-descript people waiting to see Cripps. As I waited trying to talk to his secretary, a phrase I always remember on these occasions came into my mind – “shivering in ante-rooms”. In eighteenth-century biographies you always read about people waiting on their patrons and “shivering in anterooms”. It is one of those ready made phrases like “leave no stone unturned”, and yet how true it is as soon as you get anywhere near politics, o even the more expensive kinds of journalism.]

Cripps considers that Bose is definitely in German territory. He says it is known that he got out through Afghanistan. I asked him what he thought of Bose, whom he used to know well, and he described him as “a thoroughly bad egg”. I said there seemed little doubt that he is subjectively pro-Fascist. Cripps: “He’s pro-Subhas. That is all he really cares about. He will do anything that he thinks will help his career along”.

I am not certain, on the evidence of Bose’s broadcasts, that this is so. I said I thought very few Indians were reliably anti-Fascist. Cripps disagreed so far as the younger generation go. He said the young Communists and left wing Socialists are wholeheartedly anti-Fascist and have a western conception of Socialism and internationalism. Let’s hope it’s so.",
19.5.42,"Attlee reminds me of nothing so much as a recently dead fish, before it has had time to stiffen.",
21.5.42,"Molotov is said to be in London. I don’t believe this.
",
22.5.42,"It is said that Molotov is not only in London but that the new Anglo-Russian treaty is already signed. [1] This however comes from Warburg, who is alternately over-optimistic and over-pessimistic – at any rate, always believes in the imminence of enormous and dramatic changes. If true it would be a godsend for the filling-up of my [BBC] newsletters. It is getting harder and harder to find anything to put into these, with nothing happening except on the Russian front, and the news from there, whether from Russian or German sources, growing more and more phony. I wish I could spare a week to go through the Russian and German broadcasts of the past year and tot up their various claims. I should say the Germans would have killed 10 million men and the Russians would have advanced to somewhere well out in the Atlantic Ocean.",
27.5.42,"Cutting from the D. Express of 26.5.42:

CAIRO, Monday. – General Auchinleck, in a drive against red tape hindering the war effort in the Middle East, has sent this letter “to all officers and headquarters of this command”: –

“An extract from a letter written by Wellington from Spain about 1810 to the Secretary for War, Lord Bradford:

“’My lord, if I attempted to answer the mass of futile correspondence that surrounds me, I should be debarred from all serious business of campaigning.

“’So long as I retain an independent position I shall see to it that no officer under my command is debarred, by attending to the futile drivelling of mere quil driving in your lordship’s officer, from attending to his first duty – which is, as always, to train the private men under his command.’”

General Auchinleck [1] adds: “I know that this does not apply to you; but please see to it that it can never be applied to you or to anyone working under you.” – A.P.

This is printed in the papers and even given out over the air, but, after all, the operative fact is taht no one does or can talk like that to the War Office nowadays.

More rumours that Molotov is in London. Also cryptic paras in the papers suggesting that this may be so (no mention of names, of course).",
30.5.42,"Almost every day in the neighbourhood of Upper Regent Street one can see a tiny, elderly, very yellow Japanese, with a face like a suffering monkey’s, walking slowly along with an enormous policeman walking beside him. On some days they are holding a solemn conversation. I suppose he is one of the Embassy staff. But whether the policeman is there to prevent him from committing acts of sabotage, or to protect him from the infuriated mob, there is no knowing.

The Molotov rumour seems to have faded out. Warburg, who accepted the Molotov story without question, has now forgotten it and is full of the inner story of why Garvin [1] was sacked from the Observer. It was because he refused to attack Churchill. The Astors are determined to get rid of Churchill because he is pro-Russian and the transformation of the Observer is part of this manoeuvre. The Observer is to lead the attack on Churchill and at the same time canalise the gifted young journalists who are liable to give the war a revolutionary meaning, making them use their energies on futilities until they can be dispense with. All inherently probable. ON the other hand I don’t believe that David Astor, [2] who acts as the decoy elephant, is consciously taking part in any such thing. * It is amusing to see not only the Beaverbrook press, which is now plus royaliste que le roi so far as Russia is concerned, but the T.U. [3] Weekly Labour’s Northern Voice, suddenly discovering Garvin as a well-known anti-Fascist who has been sacked for his radical opinions. One thing that strikes me about nearly everyone nowadays is the shortness of their memories. Desmond Hawkins [4] told me a little while back that he recently bought some fried fish wrapped up in a sheet of newspaper dating from 1940. On one side was an article proving that the Red Army was no good, and on the other a write-up of that gallant sailor and well-known Anglophile, Admiral Darlan. [5]

Pasted into the Diary is ‘That Monstrous Man’, a poem by Nicholas Moore [6] (for which see CW, XIII, p.341). This is followed by Orwell’s comment:

Cf. Alexander Comfort’s letter in the last Horizon. [7]",
4.6.42,"Very hot weather. Struck by the normality of everything – lack of hurry, fewness of uniforms, general unwarlike appearance of the crowds who drift slowly through the streets, pushing prams or loitering in the squares to look at the hawthorn bushes. It is already noticeable that there are much fewer cars, however. Here and there a car with a fuel converter at the back, having slightly the appearance of an old-fashioned milkcart. Evidently there is not so much bootleg petrol about after all. ",
6.6.42,"The Molotov rumour still persists. He was here to negotiate the treaty, and has gone back, so it is said. No hint of this in any newspaper, however.

There is said to be much disagreement on the staff of the New Statesman over the question of the Second Front. [1] Having squealed for a year that we must open a second front immediately, Kingsley Martin [2] now has cold feet. He says they now say that the army cannot be trusted, the soldiers will shoot their officers in the back etc. – this after endeavouring throughout the war to make the soldiers mistrust their officers. Meanwhile I think now that a second front is definitely projected, at any rate if enough shipping can be scrapped together.",
